AL,Y,OL,P,AC,OC,A,T,Pot,Ovr,N
Ligue 1,2009,Primera Division,CB,Tier_1,Tier_1,A30,10Mto1M,75to84,65to74,SA
Liga Nos,2009,Primera Division,CF,Tier_1,Tier_1,U30,10Mto1M,75to84,65to74,SA
Premier League,2009,Premier League,CF,Tier_1,Tier_1,U25,40Mto10M,85above,65to74,SA
Serie A,2013,Premier League,CF,Tier_1,Tier_1,U30,10Mto1M,85above,85above,SA
1 Bundesliga,2009,Other,CM,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,SA
1 Bundesliga,2013,Other,CF,Tier_3,Tier_4,U30,10Mto1M,75to84,65to74,SA
Serie A,2009,Serie A,CB,Tier_1,Tier_2,U30,10Mto1M,75to84,65to74,SA
Serie A,2009,Serie A,CF,Tier_2,Tier_1,U30,40Mto10M,75to84,65to74,SA
Ligue 1,2009,Other,CF,Tier_2,Tier_4,U25,10Mto1M,75to84,65to74,SA
Serie A,2011,Ligue 1,CF,Tier_3,Tier_2,U30,10Mto1M,75to84,75to84,SA
Serie A,2014,Serie A,CF,Tier_2,Tier_3,U30,10Mto1M,65to74,75to84,SA
Ligue 1,2009,Liga Nos,CM,Tier_1,Tier_1,U30,40Mto10M,75to84,65to74,SA
Ligue 1,2009,Liga Nos,CF,Tier_1,Tier_1,U30,40Mto10M,85above,75to84,SA
Liga Nos,2013,Premier League,CB,Tier_1,Tier_1,U25,10Mto1M,75to84,75to84,SA
Serie A,2009,Liga Nos,CDM,Tier_1,Tier_1,U25,10Mto1M,75to84,65to74,SA
Serie A,2009,Other,CF,Tier_1,Tier_4,U30,10Mto1M,75to84,75to84,SA
Serie A,2012,Serie A,CF,Tier_2,Tier_1,U30,10Mto1M,75to84,75to84,SA
Primera Division,2009,Other,CDM,Tier_4,Tier_4,U25,10Mto1M,75to84,65to74,SA
Serie A,2009,Other,CAM,Tier_2,Tier_4,U21,10Mto1M,75to84,65to74,SA
Ligue 1,2011,Serie A,CAM,Tier_1,Tier_2,U25,40Mto10M,85above,75to84,SA
Serie A,2018,Ligue 1,CAM,Tier_1,Tier_1,U30,40Mto10M,75to84,75to84,SA
Serie A,2009,Other,LW,Tier_2,Tier_4,U25,10Mto1M,75to84,65to74,SA
Primera Division,2009,Other,RW,Tier_1,Tier_4,U21,10Mto1M,75to84,65to74,SA
Liga Nos,2012,Primera Division,RW,Tier_1,Tier_1,U25,10Mto1M,85above,65to74,SA
Liga Nos,2009,Other,CDM,Tier_1,Tier_4,U25,10Mto1M,75to84,65to74,SA
Serie A,2009,Other,CF,Tier_2,Tier_4,U25,40Mto10M,75to84,65to74,SA
Serie A,2015,Premier League,CF,Tier_1,Tier_1,U30,10Mto1M,75to84,75to84,SA
Premier League,2016,Serie A,CF,Tier_2,Tier_1,U30,10Mto1M,75to84,75to84,SA
Primera Division,2009,Other,CB,Tier_4,Tier_4,U25,Below1M,65to74,65to74,SA
Primera Division,2010,1 Bundesliga,CB,Tier_2,Tier_1,U30,10Mto1M,85above,85above,SA
Premier League,2013,Primera Division,CB,Tier_1,Tier_1,A30,10Mto1M,75to84,75to84,SA
Serie A,2010,1 Bundesliga,CM,Tier_1,Tier_1,U25,10Mto1M,75to84,65to74,SA
Serie A,2016,Other,CM,Tier_1,Tier_4,A30,10Mto1M,75to84,75to84,SA
